ticker,total_months,overlap_months,pre_treatment_months,null_rate,pre_treatment_correlation,eligible
BRC,85,85,16,0.0588,0.3121,True
CAG,85,85,16,0.0588,-0.1357,True
CHD,85,85,16,0.0588,0.7959,True
CL,85,85,16,0.0588,0.2341,True
CLX,85,85,16,0.0588,0.5035,True
CPB,85,85,16,0.0588,0.1085,True
GIS,85,85,16,0.0588,0.2254,True
HSY,85,85,16,0.0588,0.4724,True
JNJ,85,85,16,0.0588,0.3432,True
K,85,85,16,0.0588,0.2831,True
KHC,85,85,16,0.0588,0.1408,True
KMB,85,85,16,0.0588,0.3451,True
KO,85,85,16,0.0588,0.6819,True
MAT,85,85,16,0.0588,-0.2349,True
MDLZ,85,85,16,0.0588,-0.0884,True
MMM,85,85,16,0.0588,0.3218,True
PEP,85,85,16,0.0588,-0.2064,True
PG,85,85,16,0.0588,0.0546,True
REYN,58,58,0,0.0862,,True
RH,85,85,16,0.0588,0.2631,True
SN,15,15,15,0.3333,0.1766,False
W,85,85,16,0.0588,-0.522,True
WHR,85,85,16,0.0588,-0.1801,True
WSM,85,85,16,0.0588,0.0369,True
